Replicate,PROP_ID,INITIAL_WT,TOT_DRY_WT,TOT_FRESH_WT,DAYS,Weeks,lnwet,lninital,lnwet-lninitial,/weeks,RGR,SITE,TREATMENT
4,LD-40,0.57,-0.566,0.980,184,26.3,-0.02020270732,-0.5621189182,0.5419162108,0.02061637759,0.02,MB,D
3,LD-54,0.59,-1.400,0.807,178,25.4,-0.2144316107,-0.5276327421,0.3132011314,0.01231689842,0.01,PR,D
4,LD-59,0.77,0.335,3.291,188,26.9,1.19119147,-0.2613647641,1.452556234,0.05408454063,0.05,PR,D
1,RD-1,21.88,14.364,46.576,188,26.9,3.841085387,3.085572978,0.7555124094,0.0281307812,0.03,OC,D
1,RD-21,14.42,9.194,35.465,178,25.4,3.568546295,2.668616132,0.8999301628,0.03539051202,0.04,CP,D
1,RD-23,22.38,8.698,33.771,184,26.3,3.519602446,3.108167703,0.4114347432,0.01565240871,0.02,CP,D
2,RD-26,20.69,12.502,48.795,188,26.9,3.887627849,3.029650492,0.8579773568,0.03194596541,0.03,CP,D
2,RD-29,18.61,9.874,36.758,178,25.4,3.604355889,2.923699071,0.6806568184,0.02676740297,0.03,CP,D
3,RD-31,14.640,8.263,30.426,188,26.9,3.415297506,2.683757509,0.7315399975,0.0272381914,0.03,CP,D
3,RD-32,18.530,11.458,39.414,181,25.9,3.674121083,2.91939104,0.7547300428,0.0291884547,0.03,CP,D
3,RD-51,24.76,18.047,69.411,184,26.3,4.240045356,3.209229448,1.030815909,0.03921582261,0.04,PR,D
4,RD-59,26.510,16.218,53.725,188,26.9,3.983878443,3.27752202,0.7063564222,0.02630050508,0.03,PR,D
4,RD-60,43.100,22.388,76.367,181,25.9,4.335550666,3.763522997,0.5720276686,0.02212261702,0.02,PR,D
3,LE-12,0.270,0.810,6.844,176,25.1,1.923372356,-1.30933332,3.232705676,0.1285735212,0.13,VB,E
3,LE-13,0.330,1.582,9.256,178,25.4,2.22527199,-1.108662625,3.333934614,0.1311097882,0.13,VB,E
3,LE-15,0.32,-0.339,1.575,179,25.6,0.4542552723,-1.139434283,1.593689555,0.06232305524,0.06,VB,E
2,LE-27,0.61,-1.027,2.596,178,25.4,0.9539717988,-0.4942963218,1.448268121,0.0569543643,0.06,MB,E
3,LE-34,0.32,-0.034,1.665,176,25.1,0.5098251234,-1.139434283,1.649259407,0.06559554458,0.07,MB,E
2,LE-47,0.88,0.089,3.755,184,26.3,1.323088285,-0.1278333715,1.450921657,0.05519810651,0.06,PR,E
4,RE-17,19.16,10.455,36.131,188,26.9,3.587151223,2.952824773,0.6343264501,0.02361853803,0.02,OC,E
1,RE-2,18.21,10.922,41.120,184,26.3,3.716494621,2.901970894,0.8145237274,0.03098731572,0.03,OC,E
1,RE-23,20.870,11.701,41.360,178,25.4,3.72231423,3.038312721,0.6840015091,0.02689893575,0.03,CP,E
1,RE-24,19.000,8.374,39.406,181,25.9,3.673918089,2.944438979,0.7294791098,0.02821189927,0.03,CP,E
1,RE-25,26.600,14.764,55.052,188,26.9,4.008278193,3.280911216,0.7273669773,0.02708281299,0.03,CP,E
2,RE-26,26.510,13.349,48.015,184,26.3,3.871513462,3.27752202,0.5939914418,0.0225975005,0.02,CP,E
3,RE-31,15.320,6.332,25.565,181,25.9,3.241224229,2.729159164,0.5120650642,0.01980362127,0.02,CP,E
3,RE-32,19.860,10.303,35.983,173,24.7,3.583046605,2.988707659,0.5943389461,0.02404839666,0.02,CP,E
4,RE-38,28.8,7.400,24.303,188,26.9,3.1905998,3.360375387,-0.1697755876,-0.006321431454,-0.01,CP,E
2,RE-50,17.72,8.922,32.459,188,26.9,3.479977754,2.874693945,0.6052838093,0.02253716311,0.02,PR,E
