.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,trait,site
value,Crushed glass,Soil,20,20,-0.7486186978865548,0.4540870591074296,1,ns,epi_length,PR
value,100% Sargassum (SG),25% SG,20,20,3.311298630829249,9.286404885342721e-4,0.00928640488534272,**,hypo_length,OC
value,100% Sargassum (SG),75% SG,20,20,0.008176046002047839,0.9934765318064711,1,ns,hypo_length,OC
value,100% Sargassum (SG),Crushed glass,20,20,2.319271715914149,0.02038030803691066,0.20380308036910658,ns,hypo_length,OC
value,100% Sargassum (SG),Soil,20,20,2.8098344760370004,0.004956698503275391,0.049566985032753905,*,hypo_length,OC
value,25% SG,75% SG,20,20,-3.3031225848272014,9.561458036593736e-4,0.009561458036593735,**,hypo_length,OC
value,25% SG,Crushed glass,20,20,-0.9920269149151003,0.3211843961486854,1,ns,hypo_length,OC
value,25% SG,Soil,20,20,-0.5014641547922486,0.6160444988272105,1,ns,hypo_length,OC
value,75% SG,Crushed glass,20,20,2.311095669912101,0.0208275711156051,0.208275711156051,ns,hypo_length,OC
value,75% SG,Soil,20,20,2.8016584300349527,0.005084067090938108,0.05084067090938108,ns,hypo_length,OC
value,Crushed glass,Soil,20,20,0.4905627601228517,0.6237357307700584,1,ns,hypo_length,OC
value,100% Sargassum (SG),25% SG,20,20,3.5921712498910843,3.2793422331850886e-4,0.0032793422331850886,**,hypo_length,CP
value,100% Sargassum (SG),75% SG,20,20,0.1444499819758937,0.8851451507196256,1,ns,hypo_length,CP
value,100% Sargassum (SG),Crushed glass,20,20,2.183102557786615,0.029028258269412535,0.2902825826941253,ns,hypo_length,CP
value,100% Sargassum (SG),Soil,20,20,1.8342422239580427,0.06661804622905149,0.6661804622905149,ns,hypo_length,CP
value,25% SG,75% SG,20,20,-3.4477212679151905,5.653371284852658e-4,0.005653371284852658,**,hypo_length,CP
value,25% SG,Crushed glass,20,20,-1.409068692104469,0.15881485730833922,1,ns,hypo_length,CP
value,25% SG,Soil,20,20,-1.7579290259330413,0.07875958632933219,0.787595863293322,ns,hypo_length,CP
value,75% SG,Crushed glass,20,20,2.0386525758107212,0.0414847139921249,0.414847139921249,ns,hypo_length,CP
value,75% SG,Soil,20,20,1.689792241982149,0.09106770855415378,0.9106770855415378,ns,hypo_length,CP
