trait,shapiro_p,levene_p,normal,homogeneous
width,1.076732820055871e-8,0.08186333704697911,Violated,OK
prop_length,0.15221288991840892,8.27318511772815e-8,OK,Violated
rad_length,6.335691405392058e-21,0.011147543492427199,Violated,Violated
total_length,1.7937294646394718e-15,0.006646675192094486,Violated,Violated
mass,1.32273997984491e-4,1.2874202901211013e-13,Violated,Violated
