treatment,species,prop_id,leaves,stem,fine_roots,coarse_roots,hypocotyl,above_ground,below_ground,total_biomass,root_shoot_ratio
75% SG,LARA,LE-34,0.053,0.058,0.021,0,0,0.111,0.021,0.132,0.1891891891891892
75% SG,LARA,LE-47,0.076,0.05,0.077,0.002,0,0.126,0.079,0.20500000000000002,0.626984126984127
75% SG,LARA,LE-15,0,0,0,0,0,0,0,0,0
75% SG,RHMA,RE-32,1.15,0.241,1.015,0.425,7.574,8.965,1.44,10.405,0.16062465142219742
75% SG,RHMA,RE-23,1.639,0.711,0.853,1.424,7.151,9.501,2.277,11.777999999999999,0.23965898326491952
75% SG,RHMA,RE-31,1.037,0.345,0.792,0.562,4.643,6.0249999999999995,1.354,7.379,0.22473029045643156
75% SG,RHMA,RE-24,0.837,0,1.087,0.927,7.107,7.944,2.0140000000000002,9.958,0.2535246727089628
75% SG,RHMA,RE-2,1.783,0.706,0.799,1.147,6.576,9.065,1.9460000000000002,11.011,0.2146718146718147
75% SG,RHMA,RE-26,1.768,0.958,0.875,1.465,8.392,11.117999999999999,2.34,13.457999999999998,0.21046950890447924
75% SG,RHMA,RE-50,1.29,0.42,0.892,0.624,5.799,7.509,1.516,9.025,0.20189106405646556
75% SG,RHMA,RE-38,1.019,0.309,0.621,0.353,5.219,6.547000000000001,0.974,7.521000000000001,0.14877042920421565
75% SG,RHMA,RE-25,2.198,0.686,1.317,1.354,9.365,12.249,2.6710000000000003,14.920000000000002,0.21805861702996165
75% SG,RHMA,RE-17,1.582,0.463,1.074,1.082,6.34,8.385,2.156,10.541,0.2571258199165176
