.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,trait,site
value,100% Sargassum (SG),Crushed glass,20,20,-0.42633500989805634,0.6698637505564049,1,ns,rad_length,VB
value,100% Sargassum (SG),Soil,20,20,0.22051810856796017,0.8254676708696919,1,ns,rad_length,VB
value,25% SG,75% SG,20,20,-0.9055943658524234,0.3651505920157006,1,ns,rad_length,VB
value,25% SG,Crushed glass,20,20,-2.5550698179407654,0.010616650061904941,0.10616650061904942,ns,rad_length,VB
value,25% SG,Soil,20,20,-1.9082166994747487,0.05636321412393706,0.5636321412393706,ns,rad_length,VB
value,75% SG,Crushed glass,20,20,-1.649475452088342,0.09905026820910877,0.9905026820910877,ns,rad_length,VB
value,75% SG,Soil,20,20,-1.0026223336223254,0.316043115871979,1,ns,rad_length,VB
value,Crushed glass,Soil,20,20,0.6468531184660165,0.517727010107332,1,ns,rad_length,VB
value,100% Sargassum (SG),25% SG,20,20,-0.9221870750022667,0.3564310037171111,1,ns,rad_length,MB
value,100% Sargassum (SG),75% SG,20,20,-3.0957110733153006,0.0019634157505015923,0.019634157505015924,*,rad_length,MB
value,100% Sargassum (SG),Crushed glass,20,20,-6.665284428247151,2.6415327560299785e-11,2.6415327560299784e-10,****,rad_length,MB
value,100% Sargassum (SG),Soil,20,20,-6.185747149245973,6.180901261088314e-10,6.180901261088314e-9,****,rad_length,MB
value,25% SG,75% SG,20,20,-2.173523998313034,0.029740901620884583,0.29740901620884586,ns,rad_length,MB
value,25% SG,Crushed glass,20,20,-5.743097353244885,9.29602448694609e-9,9.296024486946089e-8,****,rad_length,MB
value,25% SG,Soil,20,20,-5.263560074243706,1.4129231023939883e-7,1.4129231023939883e-6,****,rad_length,MB
value,75% SG,Crushed glass,20,20,-3.569573354931851,3.5756308672194866e-4,0.0035756308672194865,**,rad_length,MB
value,75% SG,Soil,20,20,-3.0900360759306724,0.0020013218505027094,0.020013218505027096,*,rad_length,MB
value,Crushed glass,Soil,20,20,0.4795372790011788,0.6315564542960115,1,ns,rad_length,MB
value,100% Sargassum (SG),25% SG,20,20,-0.024821041581672504,0.9801977074727578,1,ns,rad_length,PR
value,100% Sargassum (SG),75% SG,20,20,-2.344209482713499,0.01906745862914516,0.1906745862914516,ns,rad_length,PR
value,100% Sargassum (SG),Crushed glass,20,20,-2.85441978189232,0.004311551873912346,0.04311551873912346,*,rad_length,PR
value,100% Sargassum (SG),Soil,20,20,-1.671283466499271,0.09466570056674903,0.9466570056674903,ns,rad_length,PR
value,25% SG,75% SG,20,20,-2.3193884411318266,0.0203739838261304,0.20373983826130398,ns,rad_length,PR
value,25% SG,Crushed glass,20,20,-2.8295987403106473,0.004660641607759709,0.04660641607759709,*,rad_length,PR
value,25% SG,Soil,20,20,-1.6464624249175985,0.09966859001421838,0.9966859001421837,ns,rad_length,PR
value,75% SG,Crushed glass,20,20,-0.5102102991788204,0.6099041375078913,1,ns,rad_length,PR
value,75% SG,Soil,20,20,0.6729260162142282,0.5009943599402895,1,ns,rad_length,PR
value,Crushed glass,Soil,20,20,1.1831363153930488,0.2367551273921227,1,ns,rad_length,PR
value,100% Sargassum (SG),25% SG,20,20,2.76210090877834,0.005743072552993578,0.05743072552993578,ns,total_length,VB
value,100% Sargassum (SG),75% SG,20,20,1.703113603831704,0.08854681058762397,0.8854681058762397,ns,total_length,VB
value,100% Sargassum (SG),Crushed glass,20,20,1.3046286901146702,0.19201931402837652,1,ns,total_length,VB
value,100% Sargassum (SG),Soil,20,20,1.8177462502434532,0.06910292523829654,0.6910292523829654,ns,total_length,VB
value,25% SG,75% SG,20,20,-1.058987304946636,0.28960556135934984,1,ns,total_length,VB
value,25% SG,Crushed glass,20,20,-1.45747221866367,0.1449860746443516,1,ns,total_length,VB
value,25% SG,Soil,20,20,-0.944354658534887,0.3449884433307898,1,ns,total_length,VB
value,75% SG,Crushed glass,20,20,-0.39848491371703393,0.6902727766401915,1,ns,total_length,VB
value,75% SG,Soil,20,20,0.114632646411749,0.908736302176889,1,ns,total_length,VB
value,Crushed glass,Soil,20,20,0.513117560128783,0.6078690887412816,1,ns,total_length,VB
value,100% Sargassum (SG),25% SG,20,20,-0.9700171858139618,0.3320379258383214,1,ns,total_length,MB
value,100% Sargassum (SG),75% SG,20,20,-3.0794630096122106,0.0020737412037974477,0.020737412037974478,*,total_length,MB
value,100% Sargassum (SG),Crushed glass,20,20,-4.524925238613861,6.0416859021934056e-6,6.0416859021934056e-5,****,total_length,MB
value,100% Sargassum (SG),Soil,20,20,-5.6342970060518,1.7577386560106326e-8,1.7577386560106327e-7,****,total_length,MB
value,25% SG,75% SG,20,20,-2.1094458237982487,0.03490611766777181,0.3490611766777181,ns,total_length,MB
value,25% SG,Crushed glass,20,20,-3.5549080527998993,3.7811129122234007e-4,0.0037811129122234007,**,total_length,MB
value,25% SG,Soil,20,20,-4.664279820237838,3.096997273899408e-6,3.096997273899408e-5,****,total_length,MB
value,75% SG,Crushed glass,20,20,-1.4454622290016501,0.148328095007511,1,ns,total_length,MB
value,75% SG,Soil,20,20,-2.55483399643959,0.010623845118484437,0.10623845118484437,ns,total_length,MB
value,Crushed glass,Soil,20,20,-1.1093717674379395,0.2672698365457737,1,ns,total_length,MB
value,100% Sargassum (SG),25% SG,20,20,0.7232621737397525,0.469518827454573,1,ns,total_length,PR
value,100% Sargassum (SG),75% SG,20,20,-0.9225004329208922,0.3562676046139624,1,ns,total_length,PR
value,100% Sargassum (SG),Crushed glass,20,20,1.356457737164743,0.17495357354151253,1,ns,total_length,PR
value,100% Sargassum (SG),Soil,20,20,-0.20196755040279898,0.8399420924197121,1,ns,total_length,PR
value,25% SG,75% SG,20,20,-1.6457626066606448,0.09981264371372969,0.9981264371372969,ns,total_length,PR
value,25% SG,Crushed glass,20,20,0.6331955634249906,0.5266059425722666,1,ns,total_length,PR
value,25% SG,Soil,20,20,-0.9252297241425516,0.3548464250438699,1,ns,total_length,PR
value,75% SG,Crushed glass,20,20,2.278958170085635,0.022669551978437678,0.22669551978437677,ns,total_length,PR
value,75% SG,Soil,20,20,0.7205328825180932,0.4711969613976192,1,ns,total_length,PR
value,Crushed glass,Soil,20,20,-1.5584252875675422,0.1191324660082381,1,ns,total_length,PR
value,100% Sargassum (SG),25% SG,20,20,4.9289245891507445,8.268347915188529e-7,8.268347915188529e-6,****,mass,VB
value,100% Sargassum (SG),75% SG,20,20,3.2959457014840985,9.809097192762233e-4,0.009809097192762233,**,mass,VB
value,100% Sargassum (SG),Crushed glass,20,20,4.27191638893762,1.9380024525419446e-5,1.9380024525419447e-4,***,mass,VB
value,100% Sargassum (SG),Soil,20,20,4.500915097725597,6.766153032479812e-6,6.766153032479813e-5,****,mass,VB
value,25% SG,75% SG,20,20,-1.632978887666647,0.10247343704336724,1,ns,mass,VB
value,25% SG,Crushed glass,20,20,-0.6570082002131253,0.5111756437678674,1,ns,mass,VB
value,25% SG,Soil,20,20,-0.4280094914251481,0.6686442101554083,1,ns,mass,VB
value,75% SG,Crushed glass,20,20,0.9759706874535217,0.32907899048529643,1,ns,mass,VB
value,75% SG,Soil,20,20,1.204969396241499,0.22821511651232085,1,ns,mass,VB
value,Crushed glass,Soil,20,20,0.22899870878797723,0.8188699197015179,1,ns,mass,VB
value,100% Sargassum (SG),25% SG,20,20,-0.4744941221203235,0.6351475885138553,1,ns,mass,MB
value,100% Sargassum (SG),75% SG,20,20,-1.9961476861613574,0.045917849766544734,0.4591784976654473,ns,mass,MB
value,100% Sargassum (SG),Crushed glass,20,20,-5.132172056496823,2.864174877869934e-7,2.864174877869934e-6,****,mass,MB
value,100% Sargassum (SG),Soil,20,20,-3.0460341057954046,0.0023188153075743042,0.023188153075743043,*,mass,MB
value,25% SG,75% SG,20,20,-1.521653564041034,0.12809590861472808,1,ns,mass,MB
value,25% SG,Crushed glass,20,20,-4.657677934376499,3.197959872690198e-6,3.197959872690198e-5,****,mass,MB
value,25% SG,Soil,20,20,-2.571539983675081,0.010124732332076636,0.10124732332076636,ns,mass,MB
value,75% SG,Crushed glass,20,20,-3.1360243703354653,0.001712549721588157,0.01712549721588157,*,mass,MB
value,75% SG,Soil,20,20,-1.049886419634047,0.29377033606100755,1,ns,mass,MB
value,Crushed glass,Soil,20,20,2.086137950701418,0.03696612887926077,0.3696612887926077,ns,mass,MB
value,100% Sargassum (SG),25% SG,20,20,-1.502388680825556,0.13299675790861337,1,ns,mass,PR
value,100% Sargassum (SG),75% SG,20,20,0.3462855943100651,0.7291280937692588,1,ns,mass,PR
value,100% Sargassum (SG),Crushed glass,20,20,1.2842560229924445,0.19905238872674136,1,ns,mass,PR
value,100% Sargassum (SG),Soil,20,20,1.0170435171468832,0.3091327281003311,1,ns,mass,PR
value,25% SG,75% SG,20,20,1.848674275135621,0.06450486043446221,0.6450486043446222,ns,mass,PR
value,25% SG,Crushed glass,20,20,2.7866447038180002,0.005325683464274787,0.05325683464274787,ns,mass,PR
value,25% SG,Soil,20,20,2.519432197972439,0.01175442761377308,0.1175442761377308,ns,mass,PR
value,75% SG,Crushed glass,20,20,0.9379704286823792,0.34825960721870874,1,ns,mass,PR
value,75% SG,Soil,20,20,0.670757922836818,0.5023747565791059,1,ns,mass,PR
value,Crushed glass,Soil,20,20,-0.2672125058455613,0.7893055478639331,1,ns,mass,PR
