trait,shapiro_p,levene_p,normal,homogeneous
diameter,4.035470860205994e-12,0.5724599867844855,Violated,OK
epi_length,0.02644048130984373,0.9076362239062027,Violated,OK
hypo_length,5.716681302724638e-8,0.061075591799926124,Violated,OK
total_height,3.274956898929612e-8,0.19407787425159584,Violated,OK
mass,6.798645939143478e-6,0.23054898669114327,Violated,OK
