Species,contrast,estimate,SE,df,t.ratio,p.value
LARA,100% Sargassum (SG) - Soil,-1.3588095238095483,0.6938693531303586,71.00000000000014,-1.958307450356964,0.17054968267448434
LARA,25% SG - Soil,-1.4171428571428824,0.3023032100005632,71.00000000000014,-4.687819415282564,5.1058661141745176e-5
LARA,75% SG - Soil,-1.9406722689075984,0.20225704912339867,70.9999999999998,-9.595078526650402,1.887379141862766e-14
LARA,Crushed glass - Soil,-2.058809523809562,0.20225704912339876,70.9999999999998,-10.179173149873579,1.5543122344752192e-15
RHMA,100% Sargassum (SG) - Soil,-1.1596201814057625,0.13775415375174807,260.999999999996,-8.418041487849125,1.7286172493413687e-13
RHMA,25% SG - Soil,-0.9232748538010304,0.14832376254810625,261.0000000000009,-6.224726489806932,7.651847933054512e-9
RHMA,75% SG - Soil,-1.0342137476458293,0.13117074013834246,260.999999999996,-7.8844851111998775,5.07260899951234e-13
RHMA,Crushed glass - Soil,-1.233472222222091,0.13061843983208468,260.999999999996,-9.443323804876018,1.6209256159527285e-13
