Species,contrast,time_period,estimate,SE,df,t.ratio,p.value
LARA,Crushed glass - Soil,6,-12.352857142857143,0.8581097283908156,141.99999997456285,-14.39542838655616,2.3647750424515834e-14
LARA,25% SG - Soil,6,-8.50285714285714,1.282572481649266,141.99999997456285,-6.629533429505111,2.6056793389628297e-9
LARA,75% SG - Soil,6,-11.644033613445377,0.8581097283908156,141.99999997456285,-13.569399376558803,2.375877272697835e-14
LARA,100% Sargassum (SG) - Soil,6,-8.15285714285714,2.94385804961554,141.99999997456285,-2.769446422160838,0.023145438599487922
RHMA,Crushed glass - Soil,6,-5.498333333333697,0.9497098948622713,363.7736113772361,-5.78948725613844,6.099343263787915e-8
RHMA,25% SG - Soil,6,-10.401929824561748,1.0784430216455319,363.7736113772457,-9.645321649622309,0
RHMA,75% SG - Soil,6,-6.011497175141531,0.9537255994324878,363.7736113772457,-6.303172714162919,3.371236401150668e-9
RHMA,100% Sargassum (SG) - Soil,6,-3.186972789116065,1.0015927540138776,363.7736113772457,-3.181904797478105,0.0060203366333762
