Date,treatment,n,mean,se
2024-11-18,Soil,4,35.45833333333333,0.28361913689808566
2024-11-18,Crushed glass,4,35.333333333333336,0.5931710140017404
2024-11-18,25% SG,4,33.75,2.069957058062371
2024-11-18,75% SG,4,35.08333333333333,1.0307764064044151
2024-11-18,100% SG,4,36,0.7200822998230958
2024-11-26,Soil,4,35.58333333333333,0.5672382737961701
2024-11-26,Crushed glass,4,35.16666666666667,0.3469443332443551
2024-11-26,25% SG,4,35.5,0.21516574145596729
2024-11-26,75% SG,4,35.916666666666664,0.28463752127665476
2024-11-26,100% SG,4,35.25,0.25
2024-12-03,Soil,4,35.25,0.15957118462605593
2024-12-03,Crushed glass,4,35.33333333333333,0.3849001794597512
2024-12-03,25% SG,4,35.083333333333336,0.3695592971013908
2024-12-03,75% SG,4,36.416666666666664,0.2846375212766558
2024-12-03,100% SG,4,35.666666666666664,0.23570226039551584
2024-12-09,Soil,4,37.083333333333336,0.08333333333333393
2024-12-09,Crushed glass,4,37.166666666666664,0.16666666666666607
2024-12-09,25% SG,4,36.75,0.15957118462605593
2024-12-09,75% SG,4,36.666666666666664,0.23570226039551584
2024-12-09,100% SG,4,37,0
2024-12-18,Soil,4,36.666666666666664,0.23570226039551584
2024-12-18,Crushed glass,4,36.58333333333333,0.2097176232019651
2024-12-18,25% SG,4,36.333333333333336,0.13608276348795384
2024-12-18,75% SG,4,37,0.23570226039551584
2024-12-18,100% SG,4,36.333333333333336,0.408248290463863
2024-12-26,Soil,4,36.333333333333336,0.4082482904638625
2024-12-26,Crushed glass,4,36.333333333333336,0.23570226039551584
2024-12-26,25% SG,4,36,0.23570226039551584
2024-12-26,75% SG,4,36.25,0.15957118462605593
2024-12-26,100% SG,4,36.66666666666667,0.4513354669242197
2024-12-30,Soil,4,36.75,0.47871355387816955
2024-12-30,Crushed glass,4,36.916666666666664,0.1595711846260575
2024-12-30,25% SG,4,37,0.3600411499115476
2024-12-30,75% SG,4,36.58333333333333,0.2097176232019651
2024-12-30,100% SG,4,36.66666666666667,0.23570226039551584
2025-01-08,Soil,4,38,0.1360827634879553
2025-01-08,Crushed glass,4,38.75,0.20971762320196558
2025-01-08,25% SG,4,38.16666666666667,0.3469443332443551
2025-01-08,75% SG,4,38.33333333333333,0.3042903097250925
2025-01-08,100% SG,4,38.416666666666664,0.15957118462605563
2025-01-15,Soil,4,37.666666666666664,0.23570226039551584
2025-01-15,Crushed glass,4,37.916666666666664,0.1595711846260575
2025-01-15,25% SG,4,38.75,0.5335936864527376
2025-01-15,75% SG,4,37.75,0.25
2025-01-15,100% SG,4,37.916666666666664,0.08333333333333393
2025-01-22,Soil,4,37.25,0.36955929710139174
2025-01-22,Crushed glass,4,36.666666666666664,0.23570226039551584
2025-01-22,25% SG,4,36.666666666666664,0.23570226039551584
2025-01-22,75% SG,4,36.25,0.5506729889333064
2025-01-22,100% SG,4,36.5,0.21516574145596729
2025-01-31,Soil,4,37.91666666666667,0.2500000000000004
2025-01-31,Crushed glass,4,38.25,0.2499999999999998
2025-01-31,25% SG,4,38.416666666666664,0.15957118462605563
2025-01-31,75% SG,4,38.58333333333333,0.2097176232019651
2025-01-31,100% SG,4,38.75,0.08333333333333393
2025-02-05,Soil,4,38.5,0.28867513459481287
2025-02-05,Crushed glass,4,38.25,0.25
2025-02-05,25% SG,4,38.16666666666667,0.09622504486493831
2025-02-05,75% SG,4,38.75,0.3695592971013901
2025-02-05,100% SG,4,38.333333333333336,0.3333333333333339
2025-02-12,Soil,4,39.41666666666667,0.2097176232019651
2025-02-12,Crushed glass,4,38.916666666666664,0.4166666666666668
2025-02-12,25% SG,4,39.666666666666664,0.23570226039551584
2025-02-12,75% SG,4,39.5,0.21516574145596729
2025-02-12,100% SG,4,39.25,0.2499999999999998
2025-02-19,Soil,4,38.58333333333333,0.45896421227384177
2025-02-19,Crushed glass,4,39.166666666666664,0.3191423692521116
2025-02-19,25% SG,4,38.916666666666664,0.08333333333333393
2025-02-19,75% SG,4,38.75,0.15957118462605593
2025-02-19,100% SG,4,39.333333333333336,0.23570226039551584
2025-02-26,Soil,4,39.25,0.25
2025-02-26,Crushed glass,4,38.91666666666667,0.2097176232019651
2025-02-26,25% SG,4,38.583333333333336,0.2499999999999998
2025-02-26,75% SG,4,39.25,0.25
2025-02-26,100% SG,4,38.666666666666664,0.23570226039551584
2025-03-05,Soil,4,38.583333333333336,0.2499999999999998
2025-03-05,Crushed glass,4,38.5,0.28867513459481287
2025-03-05,25% SG,4,38.66666666666667,0.3042903097250925
2025-03-05,75% SG,4,38.666666666666664,0.13608276348795384
2025-03-05,100% SG,4,38.833333333333336,0.16666666666666607
2025-03-12,Soil,4,38.66666666666667,0.3042903097250925
2025-03-12,Crushed glass,4,38.5,0.28867513459481287
2025-03-12,25% SG,4,38.25,0.15957118462605593
2025-03-12,75% SG,4,38,0
2025-03-12,100% SG,4,38.33333333333333,0.19245008972987457
2025-03-19,Soil,4,38.75,0.47871355387816905
