figure,caption
temperature_by_treatment,"Temperature (°C) by treatment. Kruskal–Wallis χ²(4) = 3.932, p = 0.415. Groups sharing letters are not significantly different (α=0.05). Letters: All treatments: a."
salinity_by_treatment,"Salinity (ppt) by treatment. Kruskal–Wallis χ²(4) = 0.515, p = 0.972. Groups sharing letters are not significantly different (α=0.05). Letters: All treatments: a."
