Comparison,Z,P.unadj,P.adj
5 - 6,-0.2739759462123817,0.7841031067837718,1
1 - 7,0.23779044388244538,0.8120436307922873,1
10 - 7,0.10855650698981215,0.9135542592007184,1
11 - 7,0.1536037649923872,0.8779221681395628,1
12 - 7,0.019938950263434996,0.9840920734969896,1
13 - 7,0.6365694491511421,0.5244053304029492,1
14 - 7,-0.008861755672637157,0.9929294345100756,1
15 - 7,-3.012258449057432,0.0025931171826045975,0.49269226469487354
16 - 7,-1.477697758412336,0.13948869465341257,1
17 - 7,-0.8935603636576348,0.37155716144912027,1
18 - 7,-2.1423294338601644,0.03216698190723902,1
19 - 7,-1.1845213415759055,0.23620675332687452,1
2 - 7,-0.35890110474182674,0.7196690731509323,1
20 - 7,-0.7421720375834076,0.4579831081162665,1
3 - 7,-0.36776286041446393,0.7130500642586475,1
4 - 7,0.570844761245746,0.568104877927722,1
5 - 7,-0.36628590113569093,0.7141517489586112,1
6 - 7,-0.09230995492330923,0.9264517792571715,1
1 - 8,0.6565083994145764,0.5114970650041362,1
10 - 8,0.5272744625219431,0.5980030057161303,1
11 - 8,0.5723217205245181,0.5671040372560872,1
12 - 8,0.43865690579556593,0.6609101570413858,1
13 - 8,1.0552874046832732,0.29129389981734277,1
14 - 8,0.4098561998594938,0.6819114371631698,1
15 - 8,-2.5935404935253006,0.009499335207475696,1
16 - 8,-1.058979802880205,0.2896089780214158,1
17 - 8,-0.4748424081255039,0.6348993034198074,1
18 - 8,-1.7236114783280334,0.08477800499761523,1
19 - 8,-0.7658033860437746,0.4437932991668639,1
2 - 8,0.059816850790304195,0.9523015046183113,1
20 - 8,-0.32345408205127657,0.7463513772178075,1
3 - 8,0.05095509511766704,0.9593613029378036,1
4 - 8,0.9895627167778769,0.3223879008859066,1
5 - 8,0.05243205439644003,0.9581844335204355,1
6 - 8,0.32640800060882175,0.7441156851171264,1
7 - 8,0.418717955532131,0.6754222716136435,1
1 - 9,0.455641937501455,0.6486474808144989,1
10 - 9,0.32640800060882175,0.7441156851171264,1
11 - 9,0.3714552586113968,0.7102984743498635,1
12 - 9,0.23779044388244458,0.8120436307922879,1
13 - 9,0.8544209427701517,0.39287179607475725,1
14 - 9,0.20898973794637243,0.8344562496695651,1
15 - 9,-2.794406955438422,0.005199500088567078,0.9879050168277449
16 - 9,-1.2598462647933266,0.20772482641020315,1
17 - 9,-0.6757088700386252,0.49922550321311476,1
18 - 9,-1.9244779402411547,0.054294703227769844,1
19 - 9,-0.9666698479568959,0.3337091048883641,1
2 - 9,-0.14104961112281716,0.887830750065999,1
20 - 9,-0.5243205439643979,0.6000556102490215,1
3 - 9,-0.14991136679545433,0.8808345436587215,1
4 - 9,0.7886962548647556,0.43028955736385277,1
5 - 9,-0.14843440751668133,0.8819999475518269,1
6 - 9,0.12554153869570037,0.9000948420216321,1
7 - 9,0.21785149361900957,0.8275448218535049,1
8 - 9,-0.20086646191312138,0.8408029927172636,1
